"UTM.EW" "UTM.NS" "Precipitation" "Elevation" "Age.cat" "Geology" "Habitat" "Stream" "EnvHet"
625753.967 1011568.985 2530 120 "c3" "Tb" "OldSlope" "Yes" 0.6272
625753.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "Yes" 0.3936
625753.967 1011768.985 2530 120 "c3" "Tb" "OldLow" "No" 0
625753.967 1011868.985 2530 120 "c3" "Tb" "OldLow" "No" 0
625753.967 1011968.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.4608
625853.967 1011568.985 2530 120 "c3" "Tb" "OldLow" "No" 0.0768
625853.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "Yes" 0.3808
625853.967 1011768.985  120 "c3" "Tb" "OldLow" "Yes" 0.2112
625853.967 1011868.985 2530 120 "c3" "Tb" "OldLow" "No" 0
625853.967 1011968.985 2530 120 "c3" "Tb" "OldLow" "No" 0
625953.967 1011568.985 2530 120 "c3" "Tb" "OldLow" "No" 0.4032
625953.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "No" 0
625953.967 1011768.985 2530 120 "c3" "Tb" "OldLow" "Yes" 0.6624
625953.967 1011868.985 2530 120 "c3" "Tb" "OldLow" "No" 0.1472
625953.967 1011968.985 2530 120 "c3" "Tb" "OldLow" "No" 0
626053.967 1011568.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.4608
626053.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "No" 0
626053.967 1011768.985 2530 120 "c3" "Tb" "Swamp" "No" 0.6592
626053.967 1011868.985 2530 120 "c3" "Tb" "OldLow" "No" 0.0768
626053.967 1011968.985  120 "c3" "Tb" "OldLow" "No" 0.2112
626153.967 1011568.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.2688
626153.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "No" 0.2112
626153.967 1011768.985 2530 120 "c3" "Tb" "Swamp" "No" 0.624
626153.967 1011868.985 2530 120 "c3" "Tb" "OldLow" "No" 0.4352
626153.967 1011968.985 2530 120 "c3" "Tb" "OldLow" "No" 0.608
626253.967 1011568.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.3648
626253.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "No" 0
626253.967 1011768.985 2530 120 "c3" "Tb" "OldLow" "No" 0.3328
626253.967 1011868.985 2530 120 "c3" "Tb" "OldHigh" "No" 0.6528
626253.967 1011968.985 2530 120 "c3" "Tb" "Young" "No" 0.6144
626353.967 1011568.985 2530 120 "c3" "Tb" "OldLow" "No" 0.4928
626353.967 1011668.985 2530 120 "c3" "Tb" "OldHigh" "No" 0.7264
626353.967 1011768.985 2530 120 "c2" "Tb" "OldHigh" "No" 0.0768
626353.967 1011868.985 2530 120 "c3" "Tb" "OldHigh" "No" 0
626353.967 1011968.985 2530 120 "c3" "Tb" "Young" "No" 0.3328
626453.967 1011568.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.4032
626453.967 1011668.985 2530  "c3" "Tb" "OldHigh" "No" 0.3648
626453.967 1011768.985 2530 120 "c3" "Tb" "OldHigh" "No" 0
626453.967 1011868.985 2530 120 "c3" "Tb" "OldHigh" "No" 0
626453.967 1011968.985 2530 120 "c3" "Tb" "OldHigh" "No" 0.6208
626553.967 1011568.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.4032
626553.967 1011668.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.1472
626553.967 1011768.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.0768
626553.967 1011868.985 2530 120 "c3" "Tb" "OldSlope" "No" 0.5568
626553.967 1011968.985 2530 120 "c3" "Tb" "OldSlope" "Yes" 0.3424
626653.967 1011568.985 2530 120 "c3" "Tb" "OldLow" "No" 0.1472
626653.967 1011668.985 2530 120 "c3" "Tb" "OldLow" "No" 0.3648
626653.967 1011768.985 2530 120 "c3" "Tb" "OldLow" "No" 0.4608
626653.967 1011868.985 2530 120 "c3" "Tb" "OldLow" "No" 0.4992
626653.967 1011968.985 2530 120 "c3" "Tb" "OldSlope" "Yes" 0.6368
